iter	Passed	Remaining
0	62	62903
1	67	33804
2	72	24192
3	77	19383
4	82	16457
5	87	14522
6	91	13043
7	96	11977
8	101	11159
9	105	10475
10	110	9979
11	115	9534
12	120	9152
13	125	8838
14	130	8571
15	135	8333
16	140	8123
17	145	7943
18	150	7781
19	156	7646
20	161	7515
21	166	7401
22	171	7269
23	175	7141
24	181	7067
25	186	6977
26	191	6904
27	197	6862
28	203	6801
29	208	6734
30	213	6678
31	218	6608
32	223	6542
33	228	6488
34	233	6433
35	238	6376
36	243	6330
37	248	6293
38	254	6266
39	259	6222
40	264	6182
41	269	6144
42	274	6105
43	279	6076
44	284	6040
45	290	6017
46	295	5995
47	300	5963
48	305	5930
49	311	5909
50	316	5888
51	321	5867
52	327	5848
53	332	5822
54	337	5804
55	343	5791
56	349	5779
57	354	5764
58	360	5749
59	365	5733
60	371	5720
61	377	5712
62	383	5698
63	388	5685
64	394	5678
65	400	5664
66	405	5643
67	410	5630
68	416	5622
69	422	5611
70	428	5601
71	433	5593
72	439	5582
73	445	5569
74	450	5553
75	455	5535
76	460	5524
77	467	5523
78	472	5513
79	478	5505
80	484	5492
81	489	5477
82	495	5468
83	501	5464
84	506	5453
85	511	5436
86	516	5417
87	522	5410
88	527	5399
89	532	5388
90	538	5382
91	544	5377
92	549	5362
93	555	5352
94	560	5343
95	566	5335
96	571	5319
97	577	5316
98	583	5310
99	589	5303
100	594	5293
101	599	5277
102	604	5268
103	610	5259
104	615	5249
105	621	5237
106	626	5227
107	631	5218
108	637	5209
109	642	5202
110	648	5190
111	653	5180
112	658	5167
113	663	5156
114	669	5148
115	674	5140
116	679	5126
117	684	5114
118	690	5111
119	696	5104
120	701	5092
121	706	5082
122	711	5072
123	716	5063
124	722	5057
125	727	5046
126	732	5036
127	738	5031
128	744	5024
129	749	5016
130	755	5008
131	760	5000
132	765	4990
133	770	4980
134	776	4972
135	781	4964
136	786	4953
137	791	4945
138	797	4939
139	802	4930
140	808	4922
141	813	4914
142	818	4904
143	823	4897
144	830	4894
145	835	4886
146	840	4876
147	845	4869
148	851	4863
149	856	4855
150	861	4845
151	866	4836
152	872	4831
153	878	4824
154	883	4814
155	889	4810
156	894	4801
157	899	4791
158	904	4784
159	910	4777
160	915	4770
161	920	4762
162	925	4752
163	931	4745
164	936	4740
165	941	4730
166	946	4720
167	951	4712
168	957	4709
169	963	4702
170	968	4694
171	973	4686
172	979	4683
173	986	4681
174	991	4673
175	996	4664
176	1001	4658
177	1006	4649
178	1012	4642
179	1017	4635
180	1023	4628
181	1028	4621
182	1033	4614
183	1039	4609
184	1045	4604
185	1050	4597
186	1055	4590
187	1061	4584
188	1066	4575
189	1071	4569
190	1077	4565
191	1083	4559
192	1089	4556
193	1095	4551
194	1101	4547
195	1107	4542
196	1113	4537
197	1119	4534
198	1124	4524
199	1129	4517
200	1135	4512
201	1141	4508
202	1146	4499
203	1151	4492
204	1156	4486
205	1163	4483
206	1168	4476
207	1173	4469
208	1179	4464
209	1186	4461
210	1191	4456
211	1197	4449
212	1202	4444
213	1207	4435
214	1212	4426
215	1217	4418
216	1222	4411
217	1227	4404
218	1234	4401
219	1239	4394
220	1244	4386
221	1249	4379
222	1254	4372
223	1260	4365
224	1265	4357
225	1269	4349
226	1274	4340
227	1279	4332
228	1285	4327
229	1292	4325
230	1298	4321
231	1303	4314
232	1308	4308
233	1314	4302
234	1319	4296
235	1325	4291
236	1331	4286
237	1337	4282
238	1343	4276
239	1348	4269
240	1353	4261
241	1358	4254
242	1363	4248
243	1369	4242
244	1374	4235
245	1379	4227
246	1384	4220
247	1389	4212
248	1394	4204
249	1399	4198
250	1404	4190
251	1409	4184
252	1414	4177
253	1419	4169
254	1424	4162
255	1429	4155
256	1434	4148
257	1440	4142
258	1445	4136
259	1450	4129
260	1455	4121
261	1460	4114
262	1465	4106
263	1470	4098
264	1474	4090
265	1480	4084
266	1485	4077
267	1490	4070
268	1495	4063
269	1500	4056
270	1505	4049
271	1510	4043
272	1515	4036
273	1520	4029
274	1525	4021
275	1530	4014
276	1535	4007
277	1540	4000
278	1545	3993
279	1550	3985
280	1554	3978
281	1560	3972
282	1565	3965
283	1569	3958
284	1574	3950
285	1580	3944
286	1585	3938
287	1590	3931
288	1595	3925
289	1600	3918
290	1605	3912
291	1610	3905
292	1616	3899
293	1621	3892
294	1626	3886
295	1631	3879
296	1636	3872
297	1641	3866
298	1646	3859
299	1651	3853
300	1656	3846
301	1661	3839
302	1666	3832
303	1670	3825
304	1675	3818
305	1680	3811
306	1685	3804
307	1690	3798
308	1695	3791
309	1700	3785
310	1705	3778
311	1709	3770
312	1714	3762
313	1718	3755
314	1723	3748
315	1728	3741
316	1733	3734
317	1737	3726
318	1742	3718
319	1746	3710
320	1750	3703
321	1755	3696
322	1760	3689
323	1765	3682
324	1769	3674
325	1773	3667
326	1777	3659
327	1782	3652
328	1787	3645
329	1792	3639
330	1797	3633
331	1802	3626
332	1807	3620
333	1812	3614
334	1817	3608
335	1822	3602
336	1827	3595
337	1832	3589
338	1837	3583
339	1842	3577
340	1847	3570
341	1852	3563
342	1857	3558
343	1863	3552
344	1867	3545
345	1872	3539
346	1877	3533
347	1882	3527
348	1887	3521
349	1892	3515
350	1897	3508
351	1902	3501
352	1907	3495
353	1911	3488
354	1917	3483
355	1921	3476
356	1926	3470
357	1931	3464
358	1936	3458
359	1941	3452
360	1946	3446
361	1951	3440
362	1956	3433
363	1961	3427
364	1966	3420
365	1971	3414
366	1976	3408
367	1981	3402
368	1986	3396
369	1991	3390
370	1995	3383
371	2000	3377
372	2006	3372
373	2010	3365
374	2015	3359
375	2020	3353
376	2025	3346
377	2030	3340
378	2035	3335
379	2040	3328
380	2045	3323
381	2050	3316
382	2055	3311
383	2060	3305
384	2065	3299
385	2070	3293
386	2075	3287
387	2080	3280
388	2085	3275
389	2090	3269
390	2094	3262
391	2099	3256
392	2104	3250
393	2109	3244
394	2114	3238
395	2119	3232
396	2124	3226
397	2128	3219
398	2133	3213
399	2138	3207
400	2143	3202
401	2148	3196
402	2153	3190
403	2158	3184
404	2163	3178
405	2169	3173
406	2174	3167
407	2179	3162
408	2184	3156
409	2190	3152
410	2195	3146
411	2200	3140
412	2206	3135
413	2211	3130
414	2217	3125
415	2222	3120
416	2227	3114
417	2232	3108
418	2237	3102
419	2242	3096
420	2246	3090
421	2252	3084
422	2256	3078
423	2261	3072
424	2266	3066
425	2271	3060
426	2276	3054
427	2281	3048
428	2286	3043
429	2291	3037
430	2296	3031
431	2301	3025
432	2305	3019
433	2310	3013
434	2314	3006
435	2319	3001
436	2324	2994
437	2329	2988
438	2334	2983
439	2339	2976
440	2343	2970
441	2348	2965
442	2353	2959
443	2358	2952
444	2363	2947
445	2367	2941
446	2372	2935
447	2377	2929
448	2381	2922
449	2386	2917
450	2391	2911
451	2396	2905
452	2401	2899
453	2406	2893
454	2410	2887
455	2415	2881
456	2420	2875
457	2425	2869
458	2429	2863
459	2434	2858
460	2439	2852
461	2444	2846
462	2449	2840
463	2454	2834
464	2459	2829
465	2463	2823
466	2468	2817
467	2473	2811
468	2477	2805
469	2483	2800
470	2488	2794
471	2493	2789
472	2498	2783
473	2504	2778
474	2509	2773
475	2513	2767
476	2519	2762
477	2524	2756
478	2529	2751
479	2534	2745
480	2539	2740
481	2544	2734
482	2549	2728
483	2553	2722
484	2558	2716
485	2563	2711
486	2568	2705
487	2573	2700
488	2578	2694
489	2582	2688
490	2587	2682
491	2593	2677
492	2598	2672
493	2603	2666
494	2608	2661
495	2613	2655
496	2618	2649
497	2622	2644
498	2627	2638
499	2632	2632
500	2637	2626
501	2641	2620
502	2646	2614
503	2650	2608
504	2654	2602
505	2659	2596
506	2664	2590
507	2668	2584
508	2672	2578
509	2677	2572
510	2682	2566
511	2687	2561
512	2691	2555
513	2696	2549
514	2700	2543
515	2704	2537
516	2709	2531
517	2713	2525
518	2718	2519
519	2723	2514
520	2728	2508
521	2732	2502
522	2737	2496
523	2741	2490
524	2747	2485
525	2751	2479
526	2755	2473
527	2760	2467
528	2765	2462
529	2770	2456
530	2774	2450
531	2779	2445
532	2783	2439
533	2788	2433
534	2793	2427
535	2798	2422
536	2802	2416
537	2806	2410
538	2811	2404
539	2816	2399
540	2821	2393
541	2825	2387
542	2830	2382
543	2835	2376
544	2840	2371
545	2844	2365
546	2849	2359
547	2855	2355
548	2859	2349
549	2863	2343
550	2868	2337
551	2873	2331
552	2877	2326
553	2882	2320
554	2886	2314
555	2890	2308
556	2895	2303
557	2900	2297
558	2905	2292
559	2910	2286
560	2914	2280
561	2919	2275
562	2923	2269
563	2927	2263
564	2932	2257
565	2937	2252
566	2941	2246
567	2946	2240
568	2950	2234
569	2954	2229
570	2960	2223
571	2964	2218
572	2969	2212
573	2974	2207
574	2978	2201
575	2983	2196
576	2987	2190
577	2992	2185
578	2998	2180
579	3003	2174
580	3008	2169
581	3012	2163
582	3017	2158
583	3022	2152
584	3026	2147
585	3031	2141
586	3035	2135
587	3039	2129
588	3044	2124
589	3049	2119
590	3054	2113
591	3058	2108
592	3063	2102
593	3068	2097
594	3073	2092
595	3078	2086
596	3083	2081
597	3088	2076
598	3093	2071
